kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0410150,Euphydryas aurinia,Dvorek,"54,""5840d"", 5840d",2022,CELKOVE_HODNOCENI,Motýli,Dvorek,11967136,8639783,2022-08-11,0,NA,NA,lok,NA,NA,NA,NA,0,špatný
CZ0410150,Euphydryas aurinia,Dvorek,"54,""5840d"", 5840d",2022,CELKOVE_SUM,Motýli,Dvorek,11967136,8639783,2022-08-11,0,NA,NA,NA,NA,NA,,,NA,1
CZ0410150,Euphydryas aurinia,Dvorek,"54,""5840d"", 5840d",2022,POP_POCETSUMLOKAL,Motýli,Dvorek,11967136,8639783,2022-08-11,0,min,ano,lok,minmax,hnízda housenek,10,alespoň 10 hnízda housenek,0,8
CZ0410150,Euphydryas aurinia,Dvorek,"54,""5840d"", 5840d",2022,POP_PRESENCE,Motýli,Dvorek,11967136,8639783,2022-08-11,0,val,ano,lok,val,NA,ano,ano,1,ano
CZ0410150,Euphydryas aurinia,Dvorek,"54,""5840d"", 5840d",2022,STA_LIKVIDACE,Motýli,Dvorek,11967136,8639783,2022-08-11,0,val,ne,lok,val,NA,nezaznamenána,nezaznamenána,NA,neznámý
CZ0410150,Euphydryas aurinia,Dvorek,"54,""5840d"", 5840d",2022,STA_PRITOMNOSTROSTLIN,Motýli,Dvorek,11967136,8639783,2022-08-11,0,val,ne,lok,val,kategorie relativní početnosti,jednotlivě,"jednotlivě, dominantně, hojně",NA,neznámý
CZ0410150,Euphydryas aurinia,"EVL Soos, jih",5840d,2020,CELKOVE_HODNOCENI,Motýli,"EVL Soos, jih",11262141,7635596,2020-08-22,0,NA,NA,lok,NA,NA,NA,NA,0,špatný
CZ0410150,Euphydryas aurinia,"EVL Soos, jih",5840d,2020,CELKOVE_SUM,Motýli,"EVL Soos, jih",11262141,7635596,2020-08-22,0,NA,NA,NA,NA,NA,,,NA,1
CZ0410150,Euphydryas aurinia,"EVL Soos, jih",5840d,2020,POP_POCETSUMLOKAL,Motýli,"EVL Soos, jih",11262141,7635596,2020-08-22,0,min,ano,lok,minmax,hnízda housenek,10,alespoň 10 hnízda housenek,0,3
CZ0410150,Euphydryas aurinia,"EVL Soos, jih",5840d,2020,POP_PRESENCE,Motýli,"EVL Soos, jih",11262141,7635596,2020-08-22,0,val,ano,lok,val,NA,ano,ano,1,ano
CZ0410150,Euphydryas aurinia,"EVL Soos, jih",5840d,2020,STA_LIKVIDACE,Motýli,"EVL Soos, jih",11262141,7635596,2020-08-22,0,val,ne,lok,val,NA,nezaznamenána,nezaznamenána,NA,neznámý
CZ0410150,Euphydryas aurinia,"EVL Soos, jih",5840d,2020,STA_PRITOMNOSTROSTLIN,Motýli,"EVL Soos, jih",11262141,7635596,2020-08-22,0,val,ne,lok,val,kategorie relativní početnosti,jednotlivě,"jednotlivě, dominantně, hojně",NA,neznámý
CZ0410150,Euphydryas aurinia,"EVL Soos, sever",5840b,2020,CELKOVE_HODNOCENI,Motýli,"EVL Soos, sever",11262140,7635594,2020-08-22,0,NA,NA,lok,NA,NA,NA,NA,0.5,zhoršený
CZ0410150,Euphydryas aurinia,"EVL Soos, sever",5840b,2020,CELKOVE_SUM,Motýli,"EVL Soos, sever",11262140,7635594,2020-08-22,0,NA,NA,NA,NA,NA,,,NA,2
CZ0410150,Euphydryas aurinia,"EVL Soos, sever",5840b,2020,POP_POCETSUMLOKAL,Motýli,"EVL Soos, sever",11262140,7635594,2020-08-22,0,min,ano,lok,minmax,hnízda housenek,10,alespoň 10 hnízda housenek,1,13
CZ0410150,Euphydryas aurinia,"EVL Soos, sever",5840b,2020,POP_PRESENCE,Motýli,"EVL Soos, sever",11262140,7635594,2020-08-22,0,val,ano,lok,val,NA,ano,ano,1,ano
CZ0410150,Euphydryas aurinia,"EVL Soos, sever",5840b,2020,STA_LIKVIDACE,Motýli,"EVL Soos, sever",11262140,7635594,2020-08-22,0,val,ne,lok,val,NA,nezaznamenána,nezaznamenána,NA,neznámý
CZ0410150,Euphydryas aurinia,"EVL Soos, sever",5840b,2020,STA_PRITOMNOSTROSTLIN,Motýli,"EVL Soos, sever",11262140,7635594,2020-08-22,0,val,ne,lok,val,kategorie relativní početnosti,jednotlivě,"jednotlivě, dominantně, hojně",NA,neznámý
CZ0410150,Euphydryas aurinia,MOTYLI1884,5840d,2023,CELKOVE_HODNOCENI,Motýli,Soos,"12796942, 12796770, 12796907",9622604,2023-09-13,1,NA,NA,lok,NA,NA,NA,NA,0,špatný
CZ0410150,Euphydryas aurinia,MOTYLI1884,5840d,2023,CELKOVE_SUM,Motýli,Soos,"12796942, 12796770, 12796907",9622604,2023-09-13,1,NA,NA,NA,NA,NA,,,NA,3
CZ0410150,Euphydryas aurinia,MOTYLI1884,5840d,2023,POP_POCETSUMLOKAL,Motýli,Soos,"12796942, 12796770, 12796907",9622604,2023-09-13,1,min,ano,lok,minmax,hnízda housenek,10,alespoň 10 hnízda housenek,0,3
CZ0410150,Euphydryas aurinia,MOTYLI1884,5840d,2023,POP_PRESENCE,Motýli,Soos,"12796942, 12796770, 12796907",9622604,2023-09-13,1,val,ano,lok,val,NA,ano,ano,1,ano
CZ0410150,Euphydryas aurinia,MOTYLI1884,5840d,2023,STA_LIKVIDACE,Motýli,Soos,"12796942, 12796770, 12796907",9622604,2023-09-13,1,val,ne,lok,val,NA,nezaznamenána,nezaznamenána,1,nezaznamenána
CZ0410150,Euphydryas aurinia,MOTYLI1884,5840d,2023,STA_PRITOMNOSTROSTLIN,Motýli,Soos,"12796942, 12796770, 12796907",9622604,2023-09-13,1,val,ne,lok,val,kategorie relativní početnosti,jednotlivě,"jednotlivě, dominantně, hojně",1,jednotlivě
CZ0410150,Euphydryas aurinia,MOTYLI1885,"5840b, 5840d",2023,CELKOVE_HODNOCENI,Motýli,SOOS,"12797357, 12797328",9622104,2023-09-13,1,NA,NA,lok,NA,NA,NA,NA,0,špatný
CZ0410150,Euphydryas aurinia,MOTYLI1885,"5840b, 5840d",2023,CELKOVE_SUM,Motýli,SOOS,"12797357, 12797328",9622104,2023-09-13,1,NA,NA,NA,NA,NA,,,NA,3
